inicio_pb	centro_kb	gc	mitad	ventana_pb	accession
1	0.5	51.6	rica en GC	1000	NC_001416.1
1001	1.5	54.3	rica en GC	1000	NC_001416.1
2001	2.5	55.1	rica en GC	1000	NC_001416.1
3001	3.5	58.4	rica en GC	1000	NC_001416.1
4001	4.5	60.4	rica en GC	1000	NC_001416.1
5001	5.5	59.4	rica en GC	1000	NC_001416.1
6001	6.5	55	rica en GC	1000	NC_001416.1
7001	7.5	57.8	rica en GC	1000	NC_001416.1
8001	8.5	55.4	rica en GC	1000	NC_001416.1
9001	9.5	57.2	rica en GC	1000	NC_001416.1
10001	10.5	58	rica en GC	1000	NC_001416.1
11001	11.5	58.2	rica en GC	1000	NC_001416.1
12001	12.5	59	rica en GC	1000	NC_001416.1
13001	13.5	57.4	rica en GC	1000	NC_001416.1
14001	14.5	58.5	rica en GC	1000	NC_001416.1
15001	15.5	56.2	rica en GC	1000	NC_001416.1
16001	16.5	58.4	rica en GC	1000	NC_001416.1
17001	17.5	58.9	rica en GC	1000	NC_001416.1
18001	18.5	53.5	rica en GC	1000	NC_001416.1
19001	19.5	55	rica en GC	1000	NC_001416.1
20001	20.5	58.9	rica en GC	1000	NC_001416.1
21001	21.5	51.5	rica en GC	1000	NC_001416.1
22001	22.5	42.4	rica en AT	1000	NC_001416.1
23001	23.5	30.8	rica en AT	1000	NC_001416.1
24001	24.5	40.6	rica en AT	1000	NC_001416.1
25001	25.5	36.4	rica en AT	1000	NC_001416.1
26001	26.5	35.1	rica en AT	1000	NC_001416.1
27001	27.5	39.7	rica en AT	1000	NC_001416.1
28001	28.5	44.7	rica en AT	1000	NC_001416.1
29001	29.5	43.4	rica en AT	1000	NC_001416.1
30001	30.5	47.4	rica en AT	1000	NC_001416.1
31001	31.5	50.2	rica en AT	1000	NC_001416.1
32001	32.5	51.2	rica en AT	1000	NC_001416.1
33001	33.5	42.9	rica en AT	1000	NC_001416.1
34001	34.5	40.3	rica en AT	1000	NC_001416.1
35001	35.5	45.6	rica en AT	1000	NC_001416.1
36001	36.5	41	rica en AT	1000	NC_001416.1
37001	37.5	43.7	rica en AT	1000	NC_001416.1
38001	38.5	45.1	rica en AT	1000	NC_001416.1
39001	39.5	52.2	rica en AT	1000	NC_001416.1
40001	40.5	50	rica en AT	1000	NC_001416.1
41001	41.5	47.5	rica en AT	1000	NC_001416.1
42001	42.5	49.6	rica en AT	1000	NC_001416.1
43001	43.5	46.2	rica en AT	1000	NC_001416.1
44001	44.5	49.8	rica en AT	1000	NC_001416.1
45001	45.5	49.3	rica en AT	1000	NC_001416.1
46001	46.5	46	rica en AT	1000	NC_001416.1
47001	47.5	37.5	rica en AT	1000	NC_001416.1
