pos	gc
251	49.8
751	53.4
1251	53.6
1751	55.0
2251	53.2
2751	57.0
3251	57.8
3751	59.0
4251	57.2
4751	63.6
5251	58.2
5751	60.6
6251	53.8
6751	56.2
7251	57.4
7751	58.2
8251	56.4
8751	54.4
9251	59.8
9751	54.6
10251	56.2
10751	59.8
11251	61.6
11751	54.8
12251	59.0
12751	59.0
13251	57.2
13751	57.6
14251	58.0
14751	59.0
15251	56.2
15751	56.2
16251	58.6
16751	58.2
17251	61.4
17751	56.4
18251	52.6
18751	54.4
19251	55.8
19751	54.2
20251	61.0
20751	56.8
21251	53.4
21751	49.6
22251	49.6
22751	35.2
23251	31.2
23751	30.4
24251	41.4
24751	39.8
25251	34.2
25751	38.6
26251	36.2
26751	34.0
27251	41.6
27751	37.8
28251	44.8
28751	44.6
29251	45.0
29751	41.8
30251	49.2
30751	45.6
31251	47.2
31751	53.2
32251	51.6
32751	50.8
33251	45.6
33751	40.2
34251	41.2
34751	39.4
35251	49.0
35751	42.2
36251	41.8
36751	40.2
37251	45.0
37751	42.4
38251	43.8
38751	46.4
39251	50.0
39751	54.4
40251	52.0
40751	48.0
41251	48.8
41751	46.2
42251	49.6
42751	49.6
43251	45.4
43751	47.0
44251	51.8
44751	47.8
45251	47.8
45751	50.8
46251	50.2
46751	41.8
47251	35.8
47751	39.2
48251	42.6
